flavor,size,product_description,ingredients,allergens,servings_per_containter,serving_size,calories_per_serving,calories_per_pint,total_fat_per_serving,total_fat_per_pint,total_fat_daily_value_per_serving,total_fat_daily_value_per_pint,saturated_fat_per_serving,saturated_fat_per_pint,saturated_fat_daily_value_per_serving,saturated_fat_daily_value_per_pint,trans_fat_per_serving,trans_fat_per_pint,trans_fat_daily_value_per_serving,trans_fat_daily_value_per_pint,cholesterol_per_serving,cholesterol_per_pint,cholesterol_daily_value_per_serving,cholesterol_daily_value_per_pint,sodium_per_serving,sodium_per_pint,sodium_daily_value_per_serving,sodium_daily_value_per_pint,total_carbohydrate_per_serving,total_carbohydrate_per_pint,carbohydrate_daily_value_per_serving,carbohydrate_daily_value_per_pint,dietary_fiber_per_serving,dietary_fiber_per_pint,dietary_fiber_daily_value_per_serving,dietary_fiber_daily_value_per_pint,total_sugars_per_serving,total_sugars_per_pint,includes_added_sugars_per_serving,includes_added_sugars_per_pint,daily_value_added_sugars_per_serving,daily_value_added_sugars_per_pint,protein_per_serving,protein_per_pint,protein_daily_value_per_serving,protein_daily_value_per_pint,vitamind_per_serving,vitamind_per_pint,vitamind_daily_value_per_serving,vitamind_daily_value_per_pint,calcium_per_serving,calcium_per_pint,calcium_daily_value_per_serving,calcium_daily_value_per_pint,iron_per_serving,iron_per_pint,iron_daily_value_per_serving,iron_daily_value_per_pint,potassium_per_serving,potassium_per_pint,potassium_daily_value_per_serving,potassium_daily_value_per_pint,vitamin_a,vitamin_a_daily_value_per_serving,category--Ice cream,category-Frozen Custard,category--Sherbert,category--Sorbet,category-Gelato,category-Churned,category--No Fat No Sugar,category--Reduced Fat,category--Gustafson's,category--Yogurt,category--Candy,category--Caramel,category--Chocolate,category--Cookies,category--Coffee ,category--Fruit,category--Fudge,category--Mint,category--Nuts,category--Vanilla
Super Madness,48 oz,"Blue Raspberry, Cherry, and Vanilla Flavored Ice Cream","INGREDIENTS: NONFAT MILK,  BUTTERMILK, CREAM, SUGAR,  CORN SYRUP, WHEY, RASPBERRY  FLAVOR [WATER, CORN STARCH -  MODIFIED, NATURALAND  ARTIFICIAL FLAVOR, BLUE 1  (COLOR), CITRIC ACID], CHERRY  FLAVOR [CHERRY JUICE  CONCENTRATE.NATURAL  FLAVOR, RED 40 (COLOR)],  STABILIZER [GUAR GUM, MONO &  DIGLYCERIDES, XANTHAN GUM,  POLYSORBATE 80,
CARRAGEENAN], YELLOW 5  (COLOR), NATURALAND  ARTIFICIAL VANILLA FLAVOR [HIGH  FRUCTOSE CORN SYRUP,  NATURAL &ARTIFICIAL FLAVORS,  CARAMEL COLOR], COLOR [RED  40 (COLOR), CITRIC ACID, BLUE 1  (COLOR)], SEA SALT. CONTANS:  MILK.",Milk,9,2/3 Cup (86g),160,,9g,,12%,,6g,,30%,,0g,,0%,,25mg,,0%,,65mg,,0%,,20g,,0%,,0g,,0%,,16g,,11g,,0%,,3g,,0%,,0mg,,0%,,105mg,,0%,,0mg,,0%,,162mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,x
Van'Elephant Tracks,48 oz,Pieces of Peanut Butter Cups and Chocolate Fudge Swirled in Vanilla Ice Cream,"INGREDIENTS: NONFAT MILK,  CREAM, BUTTERMltK, SUGAR,  CORN SYRUP, PEANUT BUTTER  CUPS [MILK CHOCOLATE (SUGAR,  COCOA BUTTER, CHOCOLATE  LIQUOR, DRY WHOLE MILK, SOY  LECITHIN {EMULSIFIER}, VANILLA  EXTRACT), PEANUT BUTTER,  SUGAR, PALM KERNEL OIL,  LACTOSE, SALT, SOY LECITHIN
{EMULSIFIER}], BUTTER FUDGE E  SWIRL [CORN SYRUP, HIGH  FRUCTOSE CORN SYRUP,
BUTTERMILK, SUGAR, SKIM MILK,  CHOCOLATE LIQUOR, WHEY,
BUTTER (CREAM, SALT), COCOA
PROCESSED WITH ALKALI,  COCOA, SALT, PECTIN, MONO &  DIGLYCERIDES, SALT, SOY  LECITHIN, XANTHAN GUM,  DISODIUM PHOSPHATE, NATURAL  FLAVOR], WHEY, STABILIZER  [MONO & DIGLYCERIDES, GUAR  GUM, LOCUST BEAN GUM,  CARRAGEENAN], VANILLA  EXTRACT, ARTIFICIAL FLAVOR,  SEA SALT, ANNATTO EXTRACT  (COLOR). CONTAINS: MILK, SOY,  PEANUTS.","Milk, Peanut, Soy",9,2/3 Cup (96g),220,,11g,,14%,,7g,,35%,,0g,,0%,,25mg,,0%,,85mg,,0%,,27g,,0%,,0g,,0%,,22g,,16g,,0%,,3g,,0%,,0mg,,0%,,114mg,,0%,,0mg,,0%,,195mg,,0%,,,,x,,,,,,,,,,,,x,,,,,,,x
Vanilla,48 oz,Vanilla flavored ice cream.,"INGREDIENTS: NONFAT MILK, CREAM, BUTTERMILK, SUGAR, CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, SEA SALT, ANNATTO EXTRACT 
(COLOR). CONTAINS: MILK. ",Milk,9,2/3 Cup (87g),170,,10g,,13%,,7g,,35%,,0g,,0%,,25mg,,0%,,65mg,,0%,,20g,,0%,,0g,,0%,,16g,,11g,,0%,,3g,,0%,,0mg,,0%,,110mg,,0%,,0mg,,0%,,168mg,,0%,,,,x,,,,,,,,,,,,,,,,,,,x
Vanilla Custard,48 oz,Vanilla Custard Flavored Ice Cream,"INGREDIENTS: NONFAT MILK,  CREAM, SUGAR, CORN SYRUP,  PASTEURIZED SUGARED EGG  YOLKS [PASTEURIZED EGG  YOLKS, SUGAR], BUTTERMILK,  WHEY, STABILIZER [GUAR GUM,  MONO & DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN], VANILLA  EXTRACT, ARTIFICIAL FLAVOR,  SEA SALT, ANNATTO EXTRACT  (COLOR). CONTAINS: MILK, EGG","Egg, Milk",9,2/3 Cup (97g),200,,11g,,14%,,7g,,35%,,0g,,0%,,65mg,,0%,,75mg,,0%,,22g,,0%,,0g,,0%,,18g,,12g,,0%,,4g,,0%,,0mg,,0%,,130mg,,0%,,0mg,,0%,,185mg,,0%,,,,x,,,,,,,,,,,,,,,,,,,x
Churned Vanilla,48 oz,Creamy Vanilla Flavored Reduced Fat Ice Cream,"INGREDIENTS: BUTTERMILK,  NONFAT MILK, SUGAR, CREAM,  CARAMEL SWIRL [CORN SYRUP,  WATER, SWEETENED  CONDENSED MILK (CONDENSED  MILK, SUGAR), SUGAR,  SWEETENED CONDENSED SKIM  MILK, (CONDENSED SKIM MILK,  SUGAR), CORN STARCH -  MODIFIED, SODIUM ALGINATE,  SALT, SODIUM BICARBONATE],  CORN SYRUP, CORN SYRUP  SOLIDS, WHEY, STABILIZER [GUAR  GUM, MONO & DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN], VANILLA  FLAVOR [HIGH FRUCTOSE CORN  SYRUP, NATURAL & ARTIFICIAL  FLAVORS, CARAMEL COLOR],  ANNATTO EXTRACT (COLOR).
CONTAINS: MILK.",Milk,9,2/3 Cup (89g),160,,5g,,6%,,3.5g,,18%,,0g,,0%,,20mg,,0%,,75mg,,0%,,24g,,0%,,0g,,0%,,18g,,11g,,0%,,3g,,0%,,0mg,,0%,,117mg,,0%,,0mg,,0%,,192mg,,0%,,,,,,,,,x,,,,,,,,,,,,,,x
Churned Caramel Swirl,48 oz,Creamy Vanilla Flavored Reduced Fat Ice Cream With A Caramel Swirl,"INGREDIENTS: BUTTERMILK,  NONFAT MILK, SUGAR, CREAM,  CARAMEL SWIRL [CORN SYRUP,  WATER, SWEETENED CONDENSED  MILK (CONDENSED MILK, SUGAR),  SUGAR, SWEETENED CONDENSED  SKIM MILK (CONDENSED SKIM  MILK, SUGAR), MODIFIED CORN  STARCH, SODIUM ALGINATE, SALT,
SODIUM BICARBONATE], CORN  SYRUP, CORN SYRUP SOLIDS,  WHEY, STABILIZER [GUAR GUM,  MONO & DIGLYCERIDES, XANTHAN  GUM, POLYSORBATE 80,  CARRAGEENAN], VANILLA FLAVOR  [HIGH FRUCTOSE CORN SYRUP,  NATURAL & ARTIFICIAL FLAVORS,  CARAMEL COLOR], ANNATTO  EXTRACT (COLOR). CONTAINS:  MILK.",Milk,9,2/3 Cup (96g),180,,5g,,6%,,3.5g,,18%,,0g,,0%,,20mg,,0%,,95mg,,0%,,29g,,0%,,0g,,0%,,22g,,16g,,0%,,3g,,0%,,0mg,,0%,,120mg,,0%,,0mg,,0%,,198mg,,0%,,,,,,,,,x,,,,,,x,,,,,,,,x
Churned Mint N Fudge ,48 oz,Creamy Mint Flavored Reduced Fat Ice Cream with a Chocolate Fudge Swirl,"INGREDIENTS: BUTTERMILK,  NONFAT MILK, SUGAR, CREAM,  CHOCOLATE FLAVORED FUDGE  [CORN SYRUP, WATER, COCOA  PROCESSED WITH ALKALI,  MODIFIED CORN STARCH, SALT,  VANILLA EXTRACT, SKIM MILK],  CORN SYRUP, CORN SYRUP  SOLIDS, WHEY, STABILIZER [GUAR  GUM, MONO & DIGLYCERIDES,
XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN], NATURAL
FLAVOR, MINT FLAVOR [NATURAL
FLAVOR, CARAMEL COLOR],  YELLOW 5 AND BLUE 1 (COLOR)""  CONTAINS: MILK""",Milk,9,2/3 Cup (96g),180,,5g,,6%,,3.5g,,18%,,0g,,0%,,15mg,,0%,,85mg,,0%,,30g,,0%,,0g,,0%,,21g,,15g,,0%,,3g,,0%,,0mg,,0%,,111mg,,0%,,0mg,,0%,,208mg,,0%,,,,,,,,,x,,,,,,,x,,,,x,x,,
Churned Strawberry ,48 oz,Creamy Strawberry Flavored Reduced Fat Ice Cream with Pieces of Strawberry ,"INGREDIENTS: BUTTERMILK, NONFAT  MILK, SUGAR, CREAM,  STRAWBERRIES [STRAWBERRIES,  SUGAR, LOCUST BEAN GUM, CITRIC  ACID, XANTHAN GUM],  STRAWBERRIES [STRAWBERRIES,  HIGH FRUCTOSE CORN SYRUP,  WATER, SUGAR, MODIFIED CORN  STARCH, CITRIC ACID, RED 40  (COLOR)], CORN SYRUP, CORN
SYRUP SOLIDS, WHEY, STRAWBERRY  FLAVOR [NATURAL FLAVORS, WATER,
CITRIC ACID, RED 40 (COLOR)],  STABILIZER [GUAR GUM, MONO &  DIGLYCERIDES, XANTHAN GUM,  POLYSORBATE 80, CARRAGEENAN],  CITRIC ACID, RED 40 AND BLUE 1
(COLOR). CONTAINS: MILK.",Milk,9,2/3 Cup (95g),180,,5g,,6%,,3.5g,,18%,,0g,,0%,,15mg,,0%,,70mg,,0%,,26g,,0%,,0g,,0%,,20g,,14g,,0%,,3g,,0%,,0mg,,0%,,105mg,,0%,,0mg,,0%,,186mg,,0%,,,,,,,,,x,,,,,,,,,,x,,,,
Lemon Sherbet,3 Gallon,Lemon Flavored Sherbet,"NONFAT MILK,  SUGAR, WATER, CORN SYRUP,  CREAM, LEMON PUREE  CONCENTRATE [WATER, LEMON  PULP, LEMON JUICE  CONCENTRATE, CORN SYRUP,  NATURAL FLAVOR], WHEY, CITRIC  ACID, STABILIZER [GUAR GUM,  MONO & DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN], YELLOW 5",Milk,72,2/3 cup (114g),160,,2g,,3%,,1g,,5%,,0g,,0%,,5mg,,0%,,30mg,,0%,,35g,,0%,,0g,,0%,,27G,,25g,,1%,,1g,,0%,,0mg,,0%,,46mg,,0%,,0mg,,0%,,69mg,,0%,,,,,,x,,,,,,,,,,,,,x,,,,
Orange Sherbet,3 Gallon,Orange Flavored Sherbet,"NONFAT MILK,  SUGAR, WATER, CORN SYRUP,  ORANGE FLAVOR CONCENTRATE  [WATER, CONCENTRATED  ORANGE JUICE, ORANGE PULP,  ORANGE PEEL, CITRIC ACID,  NATURAL FLAVOR, MODIFIED  CORN STARCH, YELLOW 6  (COLOR), BHA (TO PROTECT  FLAVOR)], CREAM, WHEY, CITRIC  ACID, STABILIZER [GUAR GUM,  MONO & DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN], INVERT  SUGAR, NATURAL FLAVOR.  ",Milk,72,2/3 cup (114g),160,,1.5g,,2%,,1g,,5%,,0g,,0%,,5mg,,0%,,30mg,,0%,,36g,,0%,,0g,,0%,,28g,,24g,,0%,,1g,,0%,,0mg,,0%,,47mg,,0%,,0mg,,0%,,77mg,,0%,,,,,,x,,,,,,,,,,,,,x,,,,
